call_id,date,technician_id,machine_id,issue_type,duration_hours
C01080,2023-05-02,T346,M2595,Inspection,1.22
C01081,2024-06-03,T882,M4737,Emergency Repair,0.56
C01082,2024-05-21,T680,M4588,Sensor Replacement,2.57
C01083,2023-12-13,T901,M2399,Inspection,1.53
C01084,2024-06-15,T146,M1679,Software Update,3.5
C01085,2023-08-21,T064,M1248,Electrical Fault,0.59
C01086,2024-01-02,T738,M2075,Inspection,0.24
C01087,2024-05-21,T304,M3408,Mechanical Failure,2.22
C01088,2024-02-13,T403,M1197,Sensor Replacement,8.26
C01089,2023-12-16,T070,M1154,Mechanical Failure,1.02
C01090,2023-08-29,T386,M3051,Sensor Replacement,1.22
C01091,2024-02-14,T738,M925,Electrical Fault,1.98
C01092,2023-01-06,T789,M4675,Software Update,0.41
C01093,2024-04-18,T684,M911,Software Update,2.91
C01094,2023-05-20,T846,M1549,Software Update,8.84
C01095,2023-11-12,T935,M2873,Calibration,4.74
C01096,2023-08-01,T321,M1629,Mechanical Failure,3.27
C01097,2024-05-18,T108,M2259,Electrical Fault,16.88
C01098,2023-06-16,T348,M1933,Calibration,3.63
C01099,2023-05-25,T427,M3403,Electrical Fault,4.12
C01100,2023-10-14,T549,M1260,Inspection,3.8
C01101,2023-08-30,T375,M3631,Electrical Fault,3.1
C01102,2023-10-22,T455,M4069,Emergency Repair,1.37
C01103,2023-06-21,T831,M2077,Electrical Fault,2.3
C01104,2024-03-27,T827,M2095,Software Update,1.99
C01105,2023-01-26,T909,M3525,Software Update,0.78
C01106,2024-05-04,T860,M030,Calibration,2.55
C01107,2023-03-31,T346,M3765,Electrical Fault,2.08
C01108,2024-05-16,T606,M078,Inspection,2.51
C01109,2024-04-30,T875,M4246,Inspection,0.21
C01110,2023-03-22,T429,M2144,Inspection,5.07
C01111,2024-02-10,T445,M2606,Routine Maintenance,8.04
C01112,2023-10-30,T731,M1031,Inspection,1.03
C01113,2024-01-25,T840,M3499,Software Update,0.53
C01114,2023-10-30,T993,M3930,Routine Maintenance,5.91
C01115,2024-01-04,T368,M3499,Electrical Fault,5.27
C01116,2023-12-26,T207,M3523,Electrical Fault,0.75
C01117,2023-01-18,T439,M2121,Emergency Repair,1.32
C01118,2023-11-05,T371,M3632,Calibration,2.23
C01119,2023-08-23,T473,M3332,Emergency Repair,6.06
C01120,2023-05-29,T712,M4746,Sensor Replacement,1.13
C01121,2023-11-08,T725,M4104,Inspection,7.98
C01122,2024-05-09,T990,M4943,Calibration,0.26
C01123,2023-03-25,T602,M429,Software Update,4.33
C01124,2023-07-09,T737,M3800,Electrical Fault,0.0
C01125,2024-03-24,T283,M2025,Electrical Fault,6.37
C01126,2023-02-17,T169,M4729,Sensor Replacement,3.37
C01127,2024-02-06,T434,M956,Software Update,1.36
C01128,2023-11-28,T919,M3787,Software Update,0.61
C01129,2023-01-10,T339,M4889,Software Update,9.98
C01130,2023-06-03,T884,M3933,Electrical Fault,4.85
C01131,2023-11-02,T118,M1186,Electrical Fault,6.68
C01132,2024-05-05,T1000,M2989,Sensor Replacement,1.94
C01133,2023-07-24,T204,M446,Inspection,1.33
C01134,2023-12-02,T482,M1493,Sensor Replacement,3.57
C01135,2023-11-29,T672,M4740,Calibration,0.72
C01136,2023-10-23,T736,M2104,Mechanical Failure,0.02
C01137,2023-09-05,T315,M2583,Routine Maintenance,2.98
C01138,2023-03-05,T434,M947,Emergency Repair,0.37
C01139,2023-12-28,T806,M1420,Inspection,9.25
C01140,2023-04-21,T104,M1720,Electrical Fault,2.15
C01141,2023-11-12,T900,M4393,Sensor Replacement,8.75
C01142,2023-01-30,T276,M1536,Sensor Replacement,0.26
C01143,2023-01-19,T859,M263,Emergency Repair,2.53
C01144,2023-06-20,T045,M1184,Sensor Replacement,1.56
C01145,2023-09-02,T032,M3929,Routine Maintenance,1.73
C01146,2023-11-27,T304,M4337,Inspection,7.27
C01147,2024-04-26,T294,M927,Software Update,2.08
C01148,2024-03-21,T105,M3972,Emergency Repair,0.83
C01149,2023-08-22,T647,M2047,Routine Maintenance,3.78
C01150,2024-05-21,T460,M2628,Software Update,0.12
C01151,2023-04-01,T222,M2347,Sensor Replacement,3.35
C01152,2023-11-29,T911,M4829,Electrical Fault,1.99
C01153,2023-07-30,T276,M2795,Mechanical Failure,3.94
C01154,2023-09-27,T351,M2040,Software Update,0.32
C01155,2023-09-14,T860,M2965,Routine Maintenance,1.19
C01156,2024-04-29,T213,M4921,Inspection,2.16
C01157,2023-01-12,T993,M4764,Inspection,0.08
C01158,2024-06-29,T540,M3575,Sensor Replacement,0.7
C01159,2024-03-31,T887,M2306,Electrical Fault,2.82
C01160,2024-06-18,T566,M3631,Routine Maintenance,0.12
C01161,2023-05-15,T360,M2692,Inspection,3.86
C01162,2024-01-24,T504,M210,Emergency Repair,1.38
C01163,2023-04-01,T998,M2763,Sensor Replacement,0.11
C01164,2023-02-01,T999,M590,Software Update,0.56
C01165,2023-07-29,T453,M2523,Routine Maintenance,3.33
C01166,2023-05-21,T688,M1629,Inspection,2.89
C01167,2024-04-30,T348,M4251,Routine Maintenance,2.44
C01168,2024-06-03,T677,M1603,Routine Maintenance,0.08
C01169,2024-01-30,T261,M420,Inspection,5.46
C01170,2023-07-18,T823,M4500,Routine Maintenance,2.01
C01171,2024-05-11,T521,M3097,Inspection,0.86
C01172,2023-09-18,T650,M651,Emergency Repair,4.87
C01173,2024-04-18,T145,M4927,Electrical Fault,11.16
C01174,2023-06-07,T034,M3264,Routine Maintenance,0.57
C01175,2023-07-13,T001,M113,Calibration,1.08
C01176,2023-12-09,T367,M1045,Calibration,0.35
C01177,2024-06-04,T115,M4250,Inspection,0.93
C01178,2024-06-15,T088,M671,Emergency Repair,8.5
C01179,2023-08-03,T998,M565,Routine Maintenance,0.54
C01180,2023-11-05,T918,M2556,Inspection,3.2
C01181,2023-06-01,T768,M4256,Calibration,4.19
C01182,2023-12-09,T862,M651,Emergency Repair,6.98
C01183,2023-10-07,T124,M407,Sensor Replacement,0.33
C01184,2023-11-29,T396,M1806,Inspection,1.08
C01185,2023-02-24,T645,M3551,Inspection,0.08
C01186,2023-12-09,T124,M2773,Routine Maintenance,4.14
C01187,2023-05-04,T593,M1793,Electrical Fault,1.59
C01188,2023-09-16,T177,M1727,Electrical Fault,1.42
C01189,2024-06-14,T793,M2461,Calibration,3.5
C01190,2023-08-01,T332,M4151,Mechanical Failure,1.73
C01191,2024-01-26,T300,M2666,Routine Maintenance,4.72
C01192,2024-06-06,T274,M3505,Mechanical Failure,2.14
C01193,2023-04-15,T982,M3225,Emergency Repair,3.0
C01194,2023-12-11,T273,M2106,Routine Maintenance,7.41
C01195,2023-06-22,T874,M409,Mechanical Failure,1.78
C01196,2023-07-08,T654,M393,Routine Maintenance,0.24
C01197,2023-09-06,T379,M2361,Routine Maintenance,0.29
C01198,2024-02-19,T987,M3791,Software Update,1.39
C01199,2023-04-02,T021,M3316,Sensor Replacement,4.93
C01200,2024-05-14,T983,M364,Emergency Repair,5.48
C01201,2023-02-11,T595,M1196,Inspection,4.22
C01202,2024-04-14,T034,M2109,Sensor Replacement,3.71
C01203,2023-05-25,T696,M2109,Calibration,0.32
C01204,2024-04-15,T337,M2977,Routine Maintenance,5.2
C01205,2023-09-21,T398,M3103,Calibration,3.42
C01206,2023-09-09,T095,M1853,Electrical Fault,3.63
C01207,2023-06-30,T513,M1525,Sensor Replacement,2.3
C01208,2024-06-05,T449,M2588,Software Update,4.1
C01209,2023-08-26,T756,M2137,Electrical Fault,1.75
C01210,2023-10-25,T706,M4030,Software Update,0.63
C01211,2023-08-16,T447,M2511,Routine Maintenance,6.36
C01212,2023-06-22,T086,M4900,Calibration,0.09
C01213,2023-09-21,T198,M909,Mechanical Failure,1.95
C01214,2024-05-30,T125,M4975,Sensor Replacement,1.45
C01215,2023-07-16,T842,M3322,Emergency Repair,1.56
C01216,2024-05-07,T219,M483,Mechanical Failure,9.65
C01217,2023-04-10,T499,M1072,Software Update,1.12
C01218,2024-06-10,T826,M3347,Inspection,0.83
C01219,2024-03-13,T230,M4348,Mechanical Failure,6.64
C01220,2024-03-22,T297,M215,Mechanical Failure,1.75
C01221,2023-04-01,T578,M3084,Sensor Replacement,2.14
C01222,2023-06-10,T521,M1797,Inspection,0.56
C01223,2023-05-28,T791,M216,Emergency Repair,0.39
C01224,2023-11-18,T133,M3120,Emergency Repair,2.21
C01225,2023-10-31,T898,M1030,Sensor Replacement,2.52
C01226,2023-03-30,T307,M2063,Sensor Replacement,2.43
C01227,2023-04-15,T879,M3170,Sensor Replacement,0.61
C01228,2023-10-08,T023,M1780,Emergency Repair,0.89
C01229,2023-12-07,T561,M2875,Electrical Fault,1.03
C01230,2024-01-24,T845,M272,Inspection,3.01
C01231,2023-07-28,T844,M3132,Mechanical Failure,4.72
C01232,2023-04-22,T048,M3384,Routine Maintenance,2.57
C01233,2023-03-16,T110,M4174,Electrical Fault,1.25
C01234,2023-08-13,T940,M4451,Electrical Fault,0.34
C01235,2024-06-01,T806,M452,Routine Maintenance,1.36
C01236,2024-06-05,T661,M074,Mechanical Failure,0.84
C01237,2023-02-16,T189,M1930,Emergency Repair,3.26
C01238,2023-12-22,T825,M598,Routine Maintenance,2.71
C01239,2023-08-06,T790,M1369,Calibration,2.2
C01240,2023-11-18,T924,M3145,Routine Maintenance,1.14
C01241,2023-12-15,T312,M3156,Mechanical Failure,3.33
C01242,2023-11-07,T477,M3356,Inspection,0.3
C01243,2024-03-25,T879,M4594,Calibration,4.83
C01244,2024-04-28,T395,M2263,Mechanical Failure,1.98
C01245,2024-06-08,T267,M490,Electrical Fault,1.12
C01246,2023-07-22,T261,M3325,Sensor Replacement,1.01
C01247,2023-12-24,T623,M352,Emergency Repair,1.83
C01248,2024-05-25,T922,M3625,Mechanical Failure,2.52
C01249,2023-09-02,T227,M601,Emergency Repair,0.1
C01250,2023-08-31,T657,M4328,Mechanical Failure,0.3
C01251,2023-04-01,T955,M1956,Sensor Replacement,0.36
C01252,2024-03-22,T132,M4993,Emergency Repair,0.39
C01253,2023-07-16,T112,M4763,Emergency Repair,2.87
C01254,2023-08-19,T839,M4370,Software Update,2.52
C01255,2023-12-17,T855,M2539,Sensor Replacement,1.39
C01256,2024-03-07,T991,M4280,Routine Maintenance,0.35
C01257,2023-11-17,T789,M2778,Routine Maintenance,0.02
C01258,2023-01-11,T557,M1435,Calibration,2.33
C01259,2023-12-09,T608,M3304,Inspection,6.59
C01260,2023-10-02,T134,M911,Routine Maintenance,0.91
C01261,2024-05-15,T232,M1086,Routine Maintenance,0.79
C01262,2023-01-29,T460,M740,Inspection,0.25
C01263,2023-10-19,T811,M3745,Electrical Fault,0.4
C01264,2023-05-11,T416,M1060,Routine Maintenance,0.21
C01265,2024-01-26,T701,M3751,Calibration,3.66
C01266,2023-11-10,T825,M2934,Inspection,0.36
C01267,2023-08-17,T228,M746,Electrical Fault,2.93
C01268,2023-01-07,T1000,M761,Electrical Fault,0.64
C01269,2024-05-31,T674,M143,Sensor Replacement,1.94
C01270,2023-07-31,T058,M1372,Mechanical Failure,2.8
C01271,2024-01-29,T194,M3175,Emergency Repair,0.8
C01272,2023-04-18,T254,M4728,Electrical Fault,1.52
C01273,2023-07-16,T712,M2877,Inspection,2.09
C01274,2024-01-08,T418,M4180,Emergency Repair,0.68
C01275,2024-01-09,T326,M4709,Mechanical Failure,1.41
C01276,2024-02-20,T832,M3756,Routine Maintenance,0.98
C01277,2023-09-06,T784,M740,Mechanical Failure,2.43
C01278,2023-02-04,T799,M3696,Electrical Fault,0.8
C01279,2024-03-21,T013,M1344,Emergency Repair,7.88
C01280,2023-11-02,T940,M259,Sensor Replacement,4.97
C01281,2023-03-04,T949,M621,Software Update,0.36
C01282,2023-09-08,T303,M2124,Electrical Fault,1.23
C01283,2023-06-22,T909,M3445,Electrical Fault,5.1
C01284,2023-04-30,T392,M3478,Mechanical Failure,3.19
C01285,2023-05-05,T469,M1992,Software Update,0.74
C01286,2023-12-31,T314,M3845,Inspection,1.31
C01287,2023-02-03,T246,M2081,Sensor Replacement,1.65
C01288,2023-04-29,T026,M4194,Inspection,0.26
C01289,2024-06-22,T227,M316,Sensor Replacement,0.23
C01290,2023-01-11,T254,M854,Routine Maintenance,0.9
C01291,2024-06-25,T964,M1028,Calibration,1.25
C01292,2023-08-25,T027,M3367,Electrical Fault,0.26
C01293,2023-07-04,T479,M3134,Software Update,5.9
C01294,2023-10-27,T959,M3625,Inspection,0.82
C01295,2024-03-08,T370,M4726,Software Update,1.17
C01296,2023-01-24,T856,M2486,Calibration,4.23
C01297,2023-06-28,T880,M2760,Sensor Replacement,1.62
C01298,2023-12-13,T790,M1570,Software Update,2.55
C01299,2023-03-30,T357,M285,Emergency Repair,5.12
C01300,2024-02-20,T318,M2635,Mechanical Failure,1.52
C01301,2024-02-01,T221,M4872,Calibration,0.75
C01302,2024-03-12,T450,M3568,Software Update,0.14
C01303,2023-10-25,T350,M4271,Emergency Repair,2.08
C01304,2024-03-04,T699,M190,Calibration,0.15
C01305,2023-01-20,T293,M3291,Routine Maintenance,0.68
C01306,2023-06-15,T274,M4114,Inspection,1.96
C01307,2023-06-01,T636,M1067,Routine Maintenance,0.46
C01308,2023-04-29,T294,M1631,Sensor Replacement,1.22
C01309,2024-06-26,T256,M774,Sensor Replacement,1.83
C01310,2023-01-11,T077,M4983,Sensor Replacement,0.72
C01311,2023-10-21,T210,M3843,Emergency Repair,0.64
C01312,2023-11-22,T981,M825,Software Update,2.66
C01313,2023-10-09,T997,M3509,Routine Maintenance,2.78
C01314,2023-08-12,T173,M1173,Sensor Replacement,4.02
C01315,2024-06-25,T737,M830,Emergency Repair,1.26
C01316,2023-01-31,T314,M1973,Mechanical Failure,3.93
C01317,2023-03-26,T790,M910,Inspection,0.58
C01318,2024-04-24,T610,M4035,Sensor Replacement,3.55
C01319,2023-02-18,T736,M2075,Inspection,1.91
C01320,2023-11-14,T143,M4021,Emergency Repair,4.32
C01321,2023-07-20,T796,M4631,Sensor Replacement,6.11
C01322,2023-05-22,T542,M4478,Sensor Replacement,3.01
C01323,2023-05-12,T805,M3800,Emergency Repair,0.91
C01324,2023-04-25,T627,M1925,Inspection,0.36
C01325,2024-04-18,T198,M2631,Calibration,0.7
C01326,2023-02-25,T070,M2401,Software Update,2.13
C01327,2023-12-31,T912,M3732,Electrical Fault,2.55
C01328,2023-07-07,T837,M220,Inspection,0.35
C01329,2023-06-16,T481,M1277,Inspection,4.65
C01330,2023-08-01,T735,M3740,Sensor Replacement,5.76
C01331,2023-06-21,T998,M1557,Sensor Replacement,3.09
C01332,2023-10-17,T941,M025,Mechanical Failure,0.18
C01333,2023-04-29,T818,M3069,Calibration,0.88
C01334,2023-02-03,T532,M1514,Software Update,7.56
C01335,2023-03-15,T911,M3451,Calibration,0.44
C01336,2024-06-06,T377,M286,Sensor Replacement,0.26
C01337,2024-04-29,T166,M696,Calibration,0.2
C01338,2024-05-14,T245,M4657,Routine Maintenance,0.78
C01339,2023-09-05,T964,M2849,Electrical Fault,1.71
C01340,2023-01-23,T817,M4844,Software Update,0.55
C01341,2023-09-03,T330,M1167,Mechanical Failure,3.85
C01342,2023-11-23,T928,M4073,Electrical Fault,4.58
C01343,2023-04-28,T667,M3664,Emergency Repair,4.22
C01344,2023-06-05,T149,M2891,Inspection,0.58
C01345,2024-02-25,T544,M026,Sensor Replacement,4.37
C01346,2023-06-29,T637,M413,Emergency Repair,0.68
C01347,2023-11-08,T439,M079,Inspection,3.33
C01348,2023-07-06,T499,M146,Sensor Replacement,4.89
C01349,2023-02-03,T666,M448,Emergency Repair,3.04
C01350,2023-03-20,T711,M2927,Sensor Replacement,0.2
C01351,2023-09-28,T765,M3680,Emergency Repair,2.1
C01352,2024-02-23,T683,M4996,Sensor Replacement,4.34
C01353,2024-04-13,T855,M3033,Mechanical Failure,1.5
C01354,2023-11-20,T933,M4435,Emergency Repair,0.91
C01355,2023-10-10,T401,M4904,Software Update,1.59
C01356,2023-10-20,T228,M987,Mechanical Failure,2.01
C01357,2023-10-10,T558,M1046,Routine Maintenance,5.07
C01358,2024-05-20,T794,M1626,Sensor Replacement,2.24
C01359,2023-05-29,T083,M1802,Inspection,0.8
C01360,2024-02-22,T553,M2848,Routine Maintenance,1.73
C01361,2023-12-20,T760,M1643,Routine Maintenance,0.96
C01362,2023-11-18,T777,M1898,Software Update,1.76
C01363,2023-07-24,T838,M4834,Calibration,1.25
C01364,2023-11-09,T015,M209,Software Update,4.57
C01365,2023-06-19,T377,M3405,Calibration,0.6
C01366,2024-05-26,T775,M3903,Mechanical Failure,6.34
C01367,2023-04-30,T930,M3527,Mechanical Failure,1.02
C01368,2023-03-01,T540,M4548,Routine Maintenance,3.56
C01369,2023-05-11,T760,M2358,Calibration,3.54
C01370,2024-01-21,T411,M049,Sensor Replacement,1.17
C01371,2024-03-06,T566,M2779,Electrical Fault,0.4
C01372,2024-06-30,T346,M4039,Electrical Fault,0.86
C01373,2023-01-23,T500,M2901,Software Update,1.71
C01374,2023-08-04,T036,M805,Mechanical Failure,0.17
C01375,2024-04-24,T314,M3312,Software Update,3.66
C01376,2024-01-21,T277,M1397,Sensor Replacement,2.97
C01377,2023-03-15,T529,M3401,Electrical Fault,2.38
C01378,2024-02-07,T139,M200,Routine Maintenance,4.33
C01379,2023-08-18,T632,M3722,Sensor Replacement,1.35
C01380,2024-05-12,T556,M3196,Calibration,2.63
C01381,2024-03-06,T240,M4927,Mechanical Failure,2.52
C01382,2024-01-04,T954,M1115,Routine Maintenance,0.53
C01383,2024-05-14,T672,M556,Software Update,1.65
C01384,2023-08-20,T926,M071,Mechanical Failure,2.66
C01385,2023-01-03,T908,M2361,Software Update,2.02
C01386,2024-06-05,T474,M3644,Calibration,1.94
C01387,2023-06-05,T157,M4211,Sensor Replacement,0.21
C01388,2024-01-15,T325,M2906,Routine Maintenance,6.63
C01389,2024-02-27,T736,M913,Routine Maintenance,3.63
C01390,2023-03-18,T350,M1072,Software Update,3.99
C01391,2023-10-25,T194,M4364,Software Update,0.04
C01392,2023-07-18,T955,M498,Routine Maintenance,1.01
C01393,2023-08-10,T931,M1343,Software Update,1.31
C01394,2024-01-12,T572,M4288,Mechanical Failure,2.61
C01395,2023-07-18,T520,M1700,Electrical Fault,0.34
C01396,2024-04-28,T083,M935,Routine Maintenance,0.32
C01397,2023-02-15,T542,M4685,Emergency Repair,7.04
C01398,2023-08-10,T030,M1418,Mechanical Failure,2.36
C01399,2023-05-15,T987,M469,Electrical Fault,8.31
C01400,2023-03-31,T183,M4550,Sensor Replacement,1.66
C01401,2024-01-17,T917,M4276,Software Update,3.28
C01402,2023-08-23,T793,M2724,Mechanical Failure,2.65
C01403,2023-03-08,T132,M4516,Inspection,4.65
C01404,2023-09-30,T245,M1759,Calibration,1.81
C01405,2023-02-12,T266,M2369,Mechanical Failure,0.57
C01406,2023-01-31,T132,M3709,Calibration,0.94
C01407,2024-03-23,T831,M3170,Calibration,2.78
C01408,2023-04-30,T444,M1845,Emergency Repair,0.9
C01409,2024-02-01,T461,M4006,Inspection,0.13
C01410,2024-01-17,T757,M1910,Calibration,0.9
C01411,2023-12-11,T065,M2664,Software Update,1.14
C01412,2024-04-29,T839,M4904,Routine Maintenance,1.88
C01413,2023-04-28,T638,M2934,Software Update,8.83
C01414,2023-05-23,T807,M4988,Calibration,1.6
C01415,2024-01-23,T634,M3523,Sensor Replacement,2.03
C01416,2023-06-14,T055,M878,Mechanical Failure,3.56
C01417,2024-06-04,T806,M2077,Electrical Fault,0.75
C01418,2023-02-27,T169,M4604,Electrical Fault,2.47
C01419,2023-03-29,T849,M319,Routine Maintenance,0.9
C01420,2023-01-04,T813,M2290,Electrical Fault,1.18
C01421,2024-06-14,T647,M2908,Calibration,0.79
C01422,2023-06-14,T438,M1422,Mechanical Failure,8.88
C01423,2023-08-10,T901,M665,Sensor Replacement,4.29
C01424,2024-05-22,T986,M3800,Electrical Fault,0.37
C01425,2023-10-19,T716,M4882,Software Update,1.11
C01426,2024-01-08,T860,M1375,Sensor Replacement,0.45
C01427,2024-01-22,T674,M4747,Software Update,0.99
C01428,2023-05-27,T814,M4976,Calibration,3.19
C01429,2023-09-01,T572,M3218,Mechanical Failure,5.1
C01430,2023-08-06,T303,M1812,Mechanical Failure,1.86
C01431,2023-03-28,T674,M3878,Sensor Replacement,1.06
C01432,2023-05-01,T067,M2009,Mechanical Failure,3.53
C01433,2024-01-21,T539,M2917,Emergency Repair,4.32
C01434,2023-04-09,T219,M3952,Emergency Repair,0.09
C01435,2024-05-23,T265,M463,Software Update,3.98
C01436,2023-06-15,T729,M4416,Routine Maintenance,0.31
C01437,2024-05-14,T529,M4155,Electrical Fault,1.98
C01438,2023-06-23,T204,M1431,Sensor Replacement,2.68
C01439,2024-04-18,T974,M1636,Electrical Fault,0.61
C01440,2023-01-17,T057,M3622,Mechanical Failure,0.82
C01441,2024-01-24,T618,M3142,Mechanical Failure,5.58
C01442,2023-10-05,T123,M517,Sensor Replacement,0.5
C01443,2023-07-18,T942,M3048,Calibration,0.08
C01444,2023-08-09,T779,M3215,Inspection,0.04
C01445,2024-03-11,T961,M2375,Sensor Replacement,1.23
C01446,2023-10-19,T779,M1446,Emergency Repair,1.4
C01447,2023-09-26,T514,M3476,Software Update,1.06
C01448,2023-05-01,T931,M2680,Sensor Replacement,3.11
C01449,2023-07-19,T409,M4407,Routine Maintenance,0.49
C01450,2024-05-17,T564,M320,Calibration,4.52
C01451,2023-05-04,T645,M3194,Sensor Replacement,1.96
C01452,2023-07-08,T537,M2429,Inspection,1.36
C01453,2023-05-27,T180,M2593,Sensor Replacement,3.93
C01454,2024-04-22,T672,M3336,Calibration,2.73
C01455,2023-09-13,T332,M4611,Sensor Replacement,8.09
C01456,2024-05-21,T615,M1398,Inspection,4.32
C01457,2023-01-08,T302,M2959,Sensor Replacement,1.39
C01458,2023-01-14,T879,M1148,Routine Maintenance,5.45
C01459,2024-01-07,T743,M391,Routine Maintenance,4.06
C01460,2024-01-08,T812,M2056,Routine Maintenance,1.65
C01461,2023-01-08,T341,M2054,Emergency Repair,1.56
C01462,2023-09-15,T678,M1901,Calibration,7.07
C01463,2024-06-03,T855,M2849,Sensor Replacement,0.63
C01464,2023-06-16,T787,M2175,Electrical Fault,0.23
C01465,2023-10-04,T965,M1305,Sensor Replacement,2.63
C01466,2023-07-25,T252,M2691,Software Update,1.93
C01467,2024-02-23,T334,M2528,Routine Maintenance,0.58
C01468,2024-03-05,T947,M4450,Routine Maintenance,1.65
C01469,2023-06-15,T793,M4319,Mechanical Failure,1.01
C01470,2023-10-25,T962,M1751,Routine Maintenance,8.92
C01471,2023-01-09,T966,M3461,Routine Maintenance,0.46
C01472,2023-08-17,T786,M3188,Sensor Replacement,4.2
C01473,2023-02-19,T612,M2218,Mechanical Failure,2.27
C01474,2023-04-09,T619,M3607,Routine Maintenance,7.21
C01475,2024-03-18,T348,M4773,Sensor Replacement,0.08
C01476,2023-01-05,T279,M3830,Emergency Repair,0.71
C01477,2024-06-13,T698,M4683,Inspection,4.56
C01478,2024-04-09,T466,M1251,Emergency Repair,7.83
C01479,2024-02-03,T779,M913,Electrical Fault,1.3
C01480,2024-06-23,T341,M353,Sensor Replacement,1.34
C01481,2024-05-12,T056,M1938,Emergency Repair,0.36
C01482,2024-02-16,T667,M729,Routine Maintenance,1.38
C01483,2023-05-20,T118,M1390,Sensor Replacement,4.18
C01484,2023-01-19,T924,M3079,Sensor Replacement,3.95
C01485,2024-06-06,T177,M686,Emergency Repair,2.77
C01486,2023-05-25,T799,M4507,Software Update,0.05
C01487,2023-05-04,T916,M3045,Mechanical Failure,1.07
C01488,2023-06-30,T296,M561,Electrical Fault,1.12
C01489,2023-04-19,T803,M3658,Software Update,1.87
C01490,2023-04-05,T163,M1601,Inspection,2.17
C01491,2023-02-08,T658,M3943,Emergency Repair,2.07
C01492,2023-03-09,T889,M1422,Calibration,16.56
C01493,2024-04-19,T437,M4271,Mechanical Failure,0.99
C01494,2023-11-27,T412,M4538,Electrical Fault,0.32
C01495,2023-03-02,T542,M1469,Routine Maintenance,0.03
C01496,2023-07-15,T788,M1261,Emergency Repair,4.84
C01497,2023-12-19,T266,M1692,Calibration,1.21
C01498,2023-09-17,T249,M4316,Software Update,0.66
C01499,2024-02-05,T975,M1465,Inspection,5.76
C01500,2023-04-13,T844,M1081,Emergency Repair,10.04
C01501,2023-10-01,T327,M3014,Calibration,0.34
C01502,2023-02-07,T230,M1525,Routine Maintenance,7.19
C01503,2024-02-19,T130,M2775,Electrical Fault,4.43
C01504,2024-02-07,T015,M639,Mechanical Failure,0.09
C01505,2024-01-10,T722,M2876,Calibration,0.16
C01506,2023-01-26,T778,M2155,Sensor Replacement,2.18
C01507,2023-04-07,T419,M1232,Routine Maintenance,8.48
C01508,2023-11-25,T224,M759,Routine Maintenance,0.32
C01509,2023-03-08,T806,M1392,Sensor Replacement,3.39
C01510,2023-04-30,T806,M2539,Routine Maintenance,0.67
C01511,2024-06-15,T725,M4566,Emergency Repair,0.09
C01512,2023-08-11,T457,M1957,Inspection,0.89
C01513,2023-04-08,T857,M667,Software Update,0.23
C01514,2023-02-17,T098,M165,Sensor Replacement,3.07
C01515,2024-06-20,T681,M4378,Sensor Replacement,0.36
C01516,2024-01-21,T036,M2216,Emergency Repair,5.7
C01517,2023-01-29,T671,M2975,Calibration,4.2
C01518,2023-03-23,T741,M279,Calibration,0.8
C01519,2023-02-18,T282,M2073,Sensor Replacement,2.44
C01520,2024-06-04,T987,M2835,Mechanical Failure,0.14
C01521,2023-02-27,T397,M2800,Mechanical Failure,0.93
C01522,2023-05-30,T429,M2435,Emergency Repair,1.57
C01523,2023-11-12,T866,M1435,Calibration,0.34
C01524,2023-09-12,T555,M2232,Emergency Repair,1.77
C01525,2023-12-23,T789,M371,Electrical Fault,0.29
C01526,2024-03-01,T776,M1036,Sensor Replacement,5.8
C01527,2024-03-19,T884,M3914,Routine Maintenance,0.84
C01528,2023-07-21,T432,M2868,Inspection,0.15
C01529,2023-11-12,T883,M1887,Routine Maintenance,4.31
C01530,2023-07-23,T603,M139,Sensor Replacement,1.88
C01531,2023-05-02,T256,M4101,Calibration,1.77
C01532,2023-03-21,T316,M3496,Mechanical Failure,0.1
C01533,2023-05-20,T655,M037,Routine Maintenance,7.2
C01534,2023-10-06,T361,M909,Emergency Repair,1.15
C01535,2024-04-28,T780,M4615,Mechanical Failure,2.81
C01536,2023-02-19,T979,M1000,Routine Maintenance,6.96
C01537,2023-11-28,T550,M168,Software Update,0.46
C01538,2023-11-08,T555,M1693,Emergency Repair,0.12
C01539,2024-03-18,T287,M2312,Software Update,1.15
C01540,2023-08-04,T318,M1788,Electrical Fault,7.35
C01541,2023-06-07,T987,M147,Sensor Replacement,0.35
C01542,2024-04-14,T737,M1250,Routine Maintenance,2.55
C01543,2023-05-05,T984,M464,Software Update,0.26
C01544,2023-10-21,T420,M275,Mechanical Failure,9.22
C01545,2023-11-16,T136,M4681,Electrical Fault,0.17
C01546,2023-05-05,T356,M4394,Sensor Replacement,0.49
C01547,2023-08-12,T874,M3062,Routine Maintenance,4.28
C01548,2024-01-04,T650,M4737,Electrical Fault,0.42
C01549,2023-11-29,T727,M4412,Sensor Replacement,4.43
C01550,2023-03-04,T106,M790,Inspection,2.09
C01551,2023-07-28,T903,M4804,Software Update,1.14
C01552,2023-10-19,T806,M4087,Inspection,1.8
C01553,2023-07-07,T828,M2933,Inspection,2.87
C01554,2023-10-23,T163,M1478,Emergency Repair,0.92
C01555,2023-09-08,T741,M2545,Routine Maintenance,4.76
C01556,2024-04-22,T851,M104,Routine Maintenance,1.34
C01557,2024-05-28,T227,M4418,Calibration,1.18
