call_id,satisfaction_score,comment,feedback_delay_days
C01544,5,Would appreciate faster response next time,3
C01545,1,Took longer than expected.,2
C01546,2,Technician was very professional,2
C01547,3,Quick and efficient,14
C01548,5,Issue still persists,0
C01549,5,Would appreciate faster response next time,1
C01550,4,Issue still persists,5
C01551,5,Great Service.,3
C01552,3,Technician was very professional,2
C01553,4,Took longer than expected.,2
C01554,5,Took longer than expected.,1
C01555,5,Great Service.,14
C01556,5,,2
C01557,5,Took longer than expected.,5
C01558,5,Communication could be better,3
C01559,4,Would appreciate faster response next time,1
C01560,5,Great Service.,3
C01561,3,Great Service.,1
C01562,3,Issue still persists,14
C01563,4,Everything was fine,0
C01564,5,Communication could be better,7
C01565,2,Issue still persists,3
C01566,5,Issue still persists,2
C01567,3,,1
C01568,1,Resolved the issue quickly,14
C01569,3,Quick and efficient,2
C01570,3,Took longer than expected.,1
C01571,2,Communication could be better,14
C01572,2,Resolved the issue quickly,2
C01573,4,,14
C01574,4,Issue still persists,0
C01575,4,Communication could be better,2
C01576,4,Issue still persists,3
C01577,5,Technician was very professional,2
C01578,4,Technician was very professional,0
C01579,3,Quick and efficient,14
C01580,4,Issue still persists,14
C01581,3,Everything was fine,2
C01582,5,Technician was very professional,1
C01583,4,Quick and efficient,0
C01584,5,Great Service.,14
C01585,4,Issue still persists,3
C01586,1,Everything was fine,7
C01587,4,Great Service.,3
C01588,5,Everything was fine,7
C01589,4,Technician was very professional,3
C01590,3,Great Service.,7
C01591,5,Technician was very professional,2
C01592,1,Took longer than expected.,0
C01593,4,,5
C01594,4,Resolved the issue quickly,3
C01595,2,Technician was very professional,2
C01596,3,Resolved the issue quickly,1
C01597,3,Everything was fine,1
C01598,4,,3
C01599,5,Technician was very professional,1
C01600,3,Everything was fine,3
C01601,5,Technician was very professional,5
C01602,5,Took longer than expected.,1
C01603,4,Would appreciate faster response next time,2
C01604,5,Technician was very professional,1
C01605,5,Technician was very professional,5
C01606,3,Everything was fine,5
C01607,2,Everything was fine,2
C01608,2,Quick and efficient,3
C01609,4,Resolved the issue quickly,3
C01610,4,Would appreciate faster response next time,7
C01611,5,Great Service.,1
C01612,5,Issue still persists,7
C01613,2,Technician was very professional,7
C01614,3,Took longer than expected.,7
C01615,3,Would appreciate faster response next time,1
C01616,3,,5
C01617,5,Quick and efficient,3
C01618,2,Took longer than expected.,0
C01619,5,Quick and efficient,1
C01620,2,Communication could be better,2
C01621,4,Communication could be better,7
C01622,5,Technician was very professional,7
C01623,5,Would appreciate faster response next time,3
C01624,4,Would appreciate faster response next time,0
C01625,2,Resolved the issue quickly,7
C01626,5,Issue still persists,3
C01627,2,Communication could be better,3
C01628,4,Everything was fine,0
C01629,4,Technician was very professional,7
C01630,3,Issue still persists,0
C01631,4,Resolved the issue quickly,2
C01632,4,Great Service.,2
C01633,5,Resolved the issue quickly,7
C01634,4,Everything was fine,3
C01635,2,Technician was very professional,5
C01636,5,Communication could be better,2
C01637,5,Great Service.,5
C01638,3,,2
C01639,3,Great Service.,5
C01640,4,,1
C01641,3,Would appreciate faster response next time,0
C01642,4,Quick and efficient,5
C01643,4,,7
C01644,4,Communication could be better,14
C01645,2,,2
C01646,5,,5
C01647,5,Technician was very professional,0
C01648,4,Everything was fine,5
C01649,1,Technician was very professional,7
C01650,3,Took longer than expected.,2
C01651,2,Took longer than expected.,0
C01652,1,Quick and efficient,7
C01653,4,Communication could be better,1
C01654,5,Great Service.,3
C01655,2,Resolved the issue quickly,3
C01656,5,Great Service.,0
C01657,4,Issue still persists,0
C01658,5,Great Service.,7
C01659,5,,3
C01660,5,Quick and efficient,2
C01661,2,Took longer than expected.,5
C01662,4,Took longer than expected.,5
C01663,3,,5
C01664,5,,5
C01665,5,Would appreciate faster response next time,0
C01666,5,Great Service.,14
C01667,3,Communication could be better,14
C01668,4,Resolved the issue quickly,3
C01669,2,Everything was fine,1
C01670,3,Would appreciate faster response next time,1
C01671,3,Technician was very professional,3
C01672,4,Would appreciate faster response next time,3
C01673,5,Took longer than expected.,5
C01674,3,Communication could be better,14
C01675,1,Great Service.,0
C01676,5,Would appreciate faster response next time,7
C01677,4,Took longer than expected.,0
C01678,3,Took longer than expected.,2
C01679,3,Everything was fine,2
C01680,4,Would appreciate faster response next time,0
C01681,3,Quick and efficient,2
C01682,5,Took longer than expected.,0
C01683,3,Communication could be better,2
C01684,3,Would appreciate faster response next time,2
C01685,5,Communication could be better,5
C01686,3,Communication could be better,14
C01687,4,Resolved the issue quickly,5
C01688,4,Quick and efficient,3
C01689,4,Issue still persists,2
C01690,2,Resolved the issue quickly,3
C01691,4,Quick and efficient,0
C01692,5,Quick and efficient,3
C01693,5,Quick and efficient,1
C01694,4,,0
C01695,5,Quick and efficient,5
C01696,5,,3
C01697,5,Quick and efficient,0
C01698,3,Resolved the issue quickly,7
C01699,3,Great Service.,0
C01700,2,,14
C01701,5,Great Service.,14
C01702,4,Everything was fine,7
C01703,4,Quick and efficient,7
C01704,5,,5
C01705,4,Technician was very professional,0
C01706,4,Took longer than expected.,1
C01707,4,Everything was fine,14
C01708,4,Quick and efficient,2
C01709,4,Communication could be better,5
C01710,4,Resolved the issue quickly,0
C01711,4,,3
C01712,4,Resolved the issue quickly,5
C01713,4,Great Service.,14
C01714,4,Issue still persists,3
C01715,4,Great Service.,14
C01716,4,Everything was fine,0
C01717,5,Took longer than expected.,7
C01718,5,Communication could be better,5
C01719,5,Technician was very professional,1
C01720,3,Everything was fine,0
C01721,5,Would appreciate faster response next time,0
C01722,3,Communication could be better,0
C01723,5,Communication could be better,14
C01724,5,Communication could be better,7
C01725,5,Would appreciate faster response next time,14
C01726,5,Everything was fine,2
C01727,3,Issue still persists,2
C01728,5,Would appreciate faster response next time,2
C01729,5,Communication could be better,7
C01730,4,Technician was very professional,3
C01731,3,Issue still persists,3
C01732,3,Quick and efficient,1
C01733,4,Resolved the issue quickly,1
C01734,5,Everything was fine,14
C01735,2,Everything was fine,14
C01736,5,Everything was fine,7
C01737,3,Quick and efficient,2
C01738,1,Communication could be better,1
C01739,4,Technician was very professional,5
C01740,5,Resolved the issue quickly,3
C01741,4,Technician was very professional,3
C01742,4,Would appreciate faster response next time,7
C01743,4,,0
C01744,5,Great Service.,0
C01745,4,Everything was fine,7
C01746,4,Resolved the issue quickly,7
C01747,3,Quick and efficient,5
C01748,5,Communication could be better,7
C01749,2,Took longer than expected.,0
C01750,2,Resolved the issue quickly,0
C01751,3,Everything was fine,1
C01752,3,,1
C01753,5,Technician was very professional,14
C01754,3,Took longer than expected.,7
C01755,5,Quick and efficient,5
C01756,5,Communication could be better,7
C01757,3,Everything was fine,0
C01758,3,Issue still persists,3
C01759,5,Would appreciate faster response next time,7
C01760,3,,2
C01761,5,Technician was very professional,14
C01762,4,,2
C01763,5,Took longer than expected.,7
C01764,5,Technician was very professional,2
C01765,4,,1
C01766,3,Great Service.,5
C01767,5,Resolved the issue quickly,0
C01768,5,Everything was fine,0
C01769,3,Everything was fine,1
C01770,5,Quick and efficient,2
C01771,3,Took longer than expected.,7
C01772,5,Resolved the issue quickly,0
C01773,4,Took longer than expected.,1
C01774,4,Issue still persists,5
C01775,4,Would appreciate faster response next time,1
C01776,3,Quick and efficient,5
C01777,5,Technician was very professional,3
C01778,5,Resolved the issue quickly,2
C01779,4,Resolved the issue quickly,5
C01780,5,,3
C01781,5,Great Service.,2
C01782,5,Took longer than expected.,1
C01783,3,Issue still persists,2
C01784,4,Great Service.,0
C01785,5,Issue still persists,5
C01786,3,Issue still persists,14
C01787,4,Everything was fine,14
C01788,2,Would appreciate faster response next time,14
C01789,5,Communication could be better,5
C01790,1,Took longer than expected.,0
C01791,5,Resolved the issue quickly,5
C01792,5,Communication could be better,14
C01793,2,Took longer than expected.,1
C01794,5,Would appreciate faster response next time,14
C01795,3,Would appreciate faster response next time,5
C01796,4,Quick and efficient,0
C01797,4,Communication could be better,7
C01798,5,Quick and efficient,1
C01799,5,Great Service.,1
C01800,2,Resolved the issue quickly,5
C01801,4,Issue still persists,0
C01802,5,Great Service.,7
C01803,5,Quick and efficient,2
C01804,5,Technician was very professional,7
C01805,2,Took longer than expected.,3
C01806,5,Would appreciate faster response next time,3
C01807,1,Communication could be better,5
C01808,5,,3
C01809,2,Communication could be better,0
C01810,3,,2
C01811,3,Quick and efficient,5
C01812,5,Resolved the issue quickly,5
C01813,3,,2
C01814,4,Would appreciate faster response next time,14
C01815,3,Great Service.,14
C01816,3,Everything was fine,1
C01817,4,,5
C01818,3,Took longer than expected.,14
C01819,5,Everything was fine,14
C01820,5,Great Service.,1
C01821,4,Would appreciate faster response next time,1
C01822,4,Communication could be better,5
C01823,4,,3
C01824,5,Communication could be better,7
C01825,4,Great Service.,0
C01826,4,Everything was fine,2
C01827,5,Took longer than expected.,5
C01828,3,Everything was fine,3
C01829,5,Communication could be better,7
C01830,5,Communication could be better,0
C01831,4,Great Service.,3
C01832,5,Took longer than expected.,3
C01833,3,Great Service.,5
C01834,5,Great Service.,5
C01835,4,Would appreciate faster response next time,3
C01836,5,Issue still persists,7
C01837,3,Everything was fine,3
C01838,4,Issue still persists,14
C01839,4,Quick and efficient,3
C01840,4,Resolved the issue quickly,1
C01841,3,,1
C01842,3,Technician was very professional,1
C01843,2,Quick and efficient,7
C01844,5,Communication could be better,1
C01845,2,Resolved the issue quickly,5
C01846,5,Issue still persists,1
C01847,4,,0
C01848,4,Everything was fine,3
C01849,1,Would appreciate faster response next time,14
C01850,5,Issue still persists,5
C01851,4,Quick and efficient,0
C01852,4,Communication could be better,14
C01853,4,Issue still persists,3
C01854,5,Quick and efficient,0
C01855,3,,1
C01856,4,Technician was very professional,14
C01857,5,Took longer than expected.,14
C01858,5,,3
C01859,4,Everything was fine,0
C01860,5,Technician was very professional,3
C01861,5,Great Service.,1
C01862,5,Quick and efficient,2
C01863,1,Issue still persists,2
C01864,4,Would appreciate faster response next time,7
C01865,3,Communication could be better,3
C01866,5,Great Service.,3
C01867,4,Resolved the issue quickly,14
C01868,2,Resolved the issue quickly,3
C01869,4,Resolved the issue quickly,3
C01870,3,Resolved the issue quickly,2
C01871,3,Communication could be better,7
C01872,4,Would appreciate faster response next time,5
C01873,4,Technician was very professional,3
C01874,3,Communication could be better,0
C01875,5,,14
C01876,5,Communication could be better,0
C01877,5,Everything was fine,1
C01878,5,Resolved the issue quickly,0
C01879,2,Issue still persists,5
C01880,4,Communication could be better,7
C01881,5,Great Service.,7
C01882,5,Resolved the issue quickly,5
C01883,3,Communication could be better,5
C01884,4,Technician was very professional,0
C01885,1,Resolved the issue quickly,5
C01886,3,Would appreciate faster response next time,1
C01887,5,Great Service.,5
C01888,4,,1
C01889,5,Resolved the issue quickly,7
C01890,4,Issue still persists,2
C01891,1,Quick and efficient,3
C01892,4,Everything was fine,14
C01893,4,Quick and efficient,14
C01894,1,Technician was very professional,7
C01895,4,Everything was fine,5
C01896,1,,3
C01897,3,Issue still persists,0
C01898,4,Would appreciate faster response next time,3
C01899,3,Would appreciate faster response next time,3
C01900,4,,5
C01901,3,Everything was fine,5
C01902,4,,0
C01903,5,,0
C01904,2,Technician was very professional,7
C01905,2,Quick and efficient,14
C01906,3,Communication could be better,3
C01907,2,Everything was fine,5
C01908,5,Everything was fine,0
C01909,4,Issue still persists,3
C01910,3,Great Service.,5
C01911,5,Took longer than expected.,7
C01912,4,Resolved the issue quickly,14
C01913,1,Quick and efficient,2
C01914,4,Everything was fine,3
C01915,5,Issue still persists,0
C01916,5,,2
C01917,1,Technician was very professional,7
C01918,4,,14
C01919,5,Quick and efficient,2
C01920,5,Resolved the issue quickly,14
C01921,2,Would appreciate faster response next time,1
C01922,4,Would appreciate faster response next time,1
C01923,2,Took longer than expected.,3
C01924,5,,2
C01925,5,Resolved the issue quickly,5
C01926,5,Would appreciate faster response next time,14
C01927,4,Great Service.,14
C01928,5,Issue still persists,1
C01929,5,Resolved the issue quickly,3
C01930,3,Resolved the issue quickly,1
C01931,2,Communication could be better,1
C01932,1,,5
C01933,5,Great Service.,5
C01934,5,Issue still persists,3
C01935,5,Took longer than expected.,2
C01936,4,Great Service.,7
C01937,4,Quick and efficient,1
C01938,3,Issue still persists,2
C01939,4,Would appreciate faster response next time,5
C01940,4,Quick and efficient,1
C01941,1,Everything was fine,2
C01942,3,Issue still persists,0
C01943,5,Resolved the issue quickly,2
C01944,4,Resolved the issue quickly,0
C01945,4,Quick and efficient,5
C01946,5,Resolved the issue quickly,0
C01947,5,Took longer than expected.,1
C01948,5,Resolved the issue quickly,14
C01949,5,Great Service.,5
C01950,3,Resolved the issue quickly,1
C01951,4,Great Service.,2
C01952,5,Technician was very professional,1
C01953,2,Communication could be better,5
C01954,3,Issue still persists,2
C01955,5,Communication could be better,7
C01956,5,Resolved the issue quickly,1
C01957,5,Issue still persists,5
C01958,2,Communication could be better,7
C01959,4,Everything was fine,0
C01960,5,Communication could be better,0
C01961,5,Communication could be better,0
C01962,4,Quick and efficient,0
C01963,3,Would appreciate faster response next time,1
C01964,3,Communication could be better,3
C01965,1,Would appreciate faster response next time,5
C01966,3,Everything was fine,2
C01967,3,Would appreciate faster response next time,1
C01968,5,Technician was very professional,14
C01969,5,Would appreciate faster response next time,1
C01970,4,Communication could be better,1
C01971,5,Took longer than expected.,0
C01972,4,Took longer than expected.,14
C01973,4,Issue still persists,1
C01974,5,,3
C01975,5,Issue still persists,0
C01976,5,Would appreciate faster response next time,14
C01977,4,Communication could be better,7
C01978,3,,7
C01979,4,Would appreciate faster response next time,0
C01980,3,Quick and efficient,2
C01981,2,Communication could be better,7
C01982,5,Great Service.,2
C01983,5,Resolved the issue quickly,0
C01984,5,Technician was very professional,7
C01985,2,Quick and efficient,7
C01986,5,Great Service.,5
C01987,3,Technician was very professional,1
C01988,3,Great Service.,3
C01989,5,Great Service.,14
C01990,4,Communication could be better,14
C01991,3,Technician was very professional,2
C01992,4,Quick and efficient,5
C01993,2,Would appreciate faster response next time,1
C01994,5,Issue still persists,1
C01995,5,Took longer than expected.,5
C01996,2,Would appreciate faster response next time,14
C01997,3,Took longer than expected.,5
C01998,5,Communication could be better,7
C01999,2,Technician was very professional,7
C02000,4,Everything was fine,2
C02001,5,Quick and efficient,2
C02002,4,Quick and efficient,2
C02003,5,Issue still persists,0
C02004,5,Issue still persists,3
C02005,2,Technician was very professional,3
C02006,1,Great Service.,1
C02007,5,Technician was very professional,14
C02008,5,Quick and efficient,3
C02009,5,Quick and efficient,1
C02010,1,Resolved the issue quickly,14
C02011,5,Communication could be better,3
C02012,3,Quick and efficient,0
C02013,4,Took longer than expected.,5
C02014,2,Would appreciate faster response next time,2
C02015,3,Everything was fine,1
C02016,5,Great Service.,1
C02017,2,Resolved the issue quickly,14
C02018,4,Resolved the issue quickly,5
C02019,4,Issue still persists,5
C02020,2,,7
C02021,4,Took longer than expected.,3
C02022,5,Resolved the issue quickly,3
C02023,5,Would appreciate faster response next time,3
C02024,3,Communication could be better,5
C02025,5,Would appreciate faster response next time,14
C02026,5,Took longer than expected.,3
C02027,5,Would appreciate faster response next time,7
C02028,5,Communication could be better,5
C02029,5,Great Service.,7
C02030,4,Issue still persists,7
C02031,4,Technician was very professional,1
C02032,4,Took longer than expected.,1
C02033,3,Technician was very professional,2
C02034,5,Took longer than expected.,2
C02035,2,Quick and efficient,7
C02036,3,Issue still persists,7
C02037,2,Issue still persists,0
C02038,4,Would appreciate faster response next time,2
C02039,4,Quick and efficient,5
C02040,5,Would appreciate faster response next time,1
C02041,5,Quick and efficient,14
C02042,5,Everything was fine,14
C02043,5,Took longer than expected.,2
C02044,1,,5
C02045,5,Technician was very professional,0
C02046,3,Quick and efficient,7
C02047,5,,7
C02048,4,Issue still persists,7
C02049,5,Took longer than expected.,14
C02050,4,Communication could be better,1
C02051,3,Quick and efficient,3
C02052,4,,2
C02053,2,Took longer than expected.,2
C02054,4,Great Service.,5
C02055,3,Took longer than expected.,7
C02056,5,Great Service.,3
C02057,3,Great Service.,14
C02058,3,Great Service.,14
C02059,3,Communication could be better,7
C02060,1,,0
C02061,2,Would appreciate faster response next time,0
C02062,4,Issue still persists,0
C02063,5,Great Service.,1
C02064,4,,5
C02065,5,Issue still persists,0
C02066,3,Great Service.,5
C02067,5,Resolved the issue quickly,2
C02068,3,Technician was very professional,7
C02069,5,Would appreciate faster response next time,2
C02070,5,Great Service.,2
C02071,5,Issue still persists,3
C02072,3,Took longer than expected.,2
C02073,4,Everything was fine,5
C02074,3,Resolved the issue quickly,0
C02075,2,Resolved the issue quickly,7
C02076,5,Technician was very professional,1
C02077,3,Quick and efficient,1
C02078,5,,0
C02079,5,,0
C02080,4,Issue still persists,14
C02081,3,Everything was fine,2
C02082,2,Took longer than expected.,5
C02083,5,Issue still persists,2
C02084,4,Communication could be better,1
C02085,2,Issue still persists,5
C02086,3,Resolved the issue quickly,5
C02087,4,,3
C02088,2,Great Service.,2
C02089,4,Technician was very professional,5
C02090,5,Great Service.,7
C02091,5,Communication could be better,3
C02092,4,Resolved the issue quickly,2
C02093,4,Communication could be better,7
C02094,5,Communication could be better,14
C02095,5,Issue still persists,1
C02096,3,Technician was very professional,14
C02097,3,Great Service.,3
C02098,3,Resolved the issue quickly,2
C02099,5,Technician was very professional,0
C02100,3,Issue still persists,3
C02101,5,Quick and efficient,1
C02102,2,Issue still persists,1
C02103,4,Technician was very professional,3
C02104,3,Would appreciate faster response next time,1
C02105,3,Resolved the issue quickly,3
C02106,5,Resolved the issue quickly,3
C02107,5,Everything was fine,0
C02108,4,Communication could be better,3
C02109,4,Everything was fine,14
C02110,5,Communication could be better,14
C02111,5,Communication could be better,1
C02112,5,Resolved the issue quickly,2
C02113,4,Took longer than expected.,0
C02114,4,Everything was fine,0
C02115,4,Communication could be better,0
C02116,2,,14
C02117,4,Took longer than expected.,14
C02118,1,Issue still persists,0
C02119,5,Quick and efficient,5
C02120,1,,0
C02121,4,Would appreciate faster response next time,14
C02122,4,Took longer than expected.,14
C02123,3,Took longer than expected.,2
C02124,5,,14
C02125,5,Took longer than expected.,5
C02126,5,Technician was very professional,7
C02127,4,,14
C02128,5,Everything was fine,5
C02129,4,Great Service.,1
C02130,3,Issue still persists,7
C02131,3,Resolved the issue quickly,7
C02132,3,Technician was very professional,1
C02133,4,Everything was fine,5
C02134,5,Quick and efficient,7
C02135,4,,3
C02136,4,Great Service.,5
C02137,4,Great Service.,14
C02138,4,Great Service.,5
C02139,5,Great Service.,0
C02140,2,Issue still persists,1
C02141,5,Issue still persists,2
C02142,5,Everything was fine,7
C02143,5,Communication could be better,2
C02144,3,,0
C02145,4,Technician was very professional,1
C02146,4,Would appreciate faster response next time,1
C02147,4,Communication could be better,1
C02148,5,Would appreciate faster response next time,3
C02149,4,Issue still persists,2
C02150,4,Resolved the issue quickly,1
C02151,2,Communication could be better,5
C02152,1,Resolved the issue quickly,3
C02153,5,Technician was very professional,3
C02154,5,Technician was very professional,3
C02155,4,Issue still persists,1
C02156,3,Technician was very professional,0
C02157,3,Took longer than expected.,3
C02158,4,Quick and efficient,3
C02159,4,Communication could be better,0
C02160,4,Quick and efficient,5
C02161,1,,5
C02162,4,Communication could be better,2
C02163,3,Communication could be better,7
C02164,3,Issue still persists,1
C02165,3,Took longer than expected.,3
C02166,4,Would appreciate faster response next time,5
C02167,4,Quick and efficient,7
C02168,3,Great Service.,2
C02169,5,Great Service.,3
C02170,5,Quick and efficient,2
C02171,3,Communication could be better,0
C02172,3,Took longer than expected.,5
C02173,4,Issue still persists,14
C02174,3,Took longer than expected.,0
C02175,4,,14
C02176,4,Resolved the issue quickly,5
C02177,2,Everything was fine,1
C02178,4,Technician was very professional,2
C02179,5,,2
C02180,3,Took longer than expected.,7
C02181,3,Communication could be better,5
C02182,3,Communication could be better,1
C02183,5,Resolved the issue quickly,14
C02184,5,Great Service.,2
C02185,1,Quick and efficient,0
C02186,1,Technician was very professional,0
C02187,5,Quick and efficient,3
C02188,4,Communication could be better,5
C02189,4,Everything was fine,14
C02190,5,Took longer than expected.,3
C02191,5,Technician was very professional,5
C02192,3,Communication could be better,3
C02193,4,,7
C02194,3,,7
C02195,5,Technician was very professional,2
C02196,5,Communication could be better,1
C02197,3,Technician was very professional,3
C02198,3,Resolved the issue quickly,2
C02199,1,Quick and efficient,3
C02200,5,Took longer than expected.,3
C02201,4,Communication could be better,0
C02202,3,,14
C02203,5,Would appreciate faster response next time,2
C02204,5,Quick and efficient,14
C02205,4,Technician was very professional,7
C02206,5,Issue still persists,0
C02207,2,Great Service.,1
C02208,5,Quick and efficient,5
C02209,4,Communication could be better,5
C02210,2,Quick and efficient,7
C02211,5,Would appreciate faster response next time,7
C02212,2,Great Service.,14
C02213,4,Resolved the issue quickly,1
C02214,5,Great Service.,2
C02215,5,Communication could be better,2
C02216,4,Communication could be better,2
C02217,4,Would appreciate faster response next time,1
C02218,3,,0
C02219,5,Everything was fine,3
C02220,5,Issue still persists,5
C02221,5,Communication could be better,3
C02222,4,Resolved the issue quickly,7
C02223,3,Resolved the issue quickly,7
C02224,3,Quick and efficient,1
C02225,5,Issue still persists,14
C02226,4,Took longer than expected.,3
C02227,4,Great Service.,0
C02228,3,Technician was very professional,2
C02229,5,Everything was fine,7
C02230,5,,5
C02231,5,Everything was fine,14
C02232,5,,7
C02233,4,Issue still persists,1
C02234,5,Everything was fine,0
C02235,3,Technician was very professional,7
C02236,4,,1
C02237,5,Great Service.,1
C02238,3,,1
C02239,5,Resolved the issue quickly,2
C02240,1,Great Service.,5
C02241,5,Technician was very professional,3
C02242,2,Resolved the issue quickly,1
C02243,2,Quick and efficient,5
C02244,5,Issue still persists,1
C02245,4,Took longer than expected.,3
C02246,5,Would appreciate faster response next time,0
C02247,3,Quick and efficient,1
C02248,2,,2
C02249,5,Everything was fine,14
C02250,3,Quick and efficient,3
C02251,4,Technician was very professional,5
C02252,4,,2
C02253,5,Resolved the issue quickly,1
C02254,3,Technician was very professional,0
C02255,4,Issue still persists,2
C02256,5,Technician was very professional,14
C02257,3,Took longer than expected.,14
C02258,3,Great Service.,3
C02259,1,Technician was very professional,5
C02260,3,Technician was very professional,7
C02261,3,Quick and efficient,3
C02262,4,Technician was very professional,3
C02263,5,Took longer than expected.,0
C02264,2,,5
C02265,5,Took longer than expected.,5
C02266,4,Resolved the issue quickly,1
C02267,4,Technician was very professional,5
C02268,5,Great Service.,2
C02269,3,Great Service.,14
C02270,5,Quick and efficient,1
C02271,5,Technician was very professional,2
C02272,4,Would appreciate faster response next time,7
C02273,5,Technician was very professional,7
C02274,2,Everything was fine,1
C02275,4,Technician was very professional,7
C02276,4,Communication could be better,2
C02277,2,Resolved the issue quickly,0
C02278,4,Quick and efficient,1
C02279,3,Resolved the issue quickly,14
C02280,3,Great Service.,7
C02281,2,Technician was very professional,0
C02282,5,Would appreciate faster response next time,5
C02283,4,Issue still persists,1
C02284,4,Great Service.,0
C02285,5,Everything was fine,1
C02286,3,Great Service.,2
C02287,5,Issue still persists,5
C02288,5,Would appreciate faster response next time,14
C02289,2,Resolved the issue quickly,5
C02290,4,Quick and efficient,7
C02291,5,Took longer than expected.,7
C02292,4,Communication could be better,7
C02293,5,Technician was very professional,14
C02294,4,Everything was fine,7
C02295,2,Great Service.,7
C02296,4,Resolved the issue quickly,3
C02297,2,Everything was fine,14
C02298,1,Quick and efficient,0
C02299,4,Took longer than expected.,7
C02300,5,Quick and efficient,5
C02301,3,Resolved the issue quickly,0
C02302,2,Resolved the issue quickly,7
C02303,3,Quick and efficient,2
C02304,2,Took longer than expected.,5
C02305,4,Would appreciate faster response next time,3
C02306,2,Took longer than expected.,14
C02307,2,,2
C02308,4,Resolved the issue quickly,1
C02309,5,Issue still persists,1
C02310,3,Quick and efficient,5
C02311,1,Took longer than expected.,2
C02312,2,Resolved the issue quickly,2
C02313,5,Would appreciate faster response next time,5
C02314,5,Great Service.,1
C02315,5,Issue still persists,14
C02316,5,Technician was very professional,7
C02317,4,Would appreciate faster response next time,2
C02318,4,Great Service.,7
C02319,5,Technician was very professional,0
C02320,4,Resolved the issue quickly,3
C02321,4,Took longer than expected.,2
C02322,3,Everything was fine,7
C02323,5,Resolved the issue quickly,1
C02324,5,Would appreciate faster response next time,0
C02325,4,Would appreciate faster response next time,3
C02326,4,Quick and efficient,14
C02327,2,,2
C02328,2,Would appreciate faster response next time,14
C02329,4,Resolved the issue quickly,5
C02330,3,Quick and efficient,7
C02331,5,Took longer than expected.,5
C02332,2,Everything was fine,1
C02333,4,Great Service.,3
C02334,1,Quick and efficient,3
C02335,5,Resolved the issue quickly,1
C02336,5,Communication could be better,14
C02337,4,Resolved the issue quickly,3
C02338,1,Communication could be better,14
C02339,5,,7
C02340,4,Resolved the issue quickly,1
C02341,4,Took longer than expected.,3
C02342,1,Resolved the issue quickly,5
C02343,5,,3
C02344,1,Would appreciate faster response next time,0
C02345,4,Quick and efficient,7
C02346,3,Communication could be better,1
C02347,5,Issue still persists,14
C02348,3,Great Service.,7
C02349,4,Communication could be better,3
C02350,4,Quick and efficient,0
C02351,3,Quick and efficient,2
C02352,1,Technician was very professional,7
C02353,5,Great Service.,14
C02354,4,,7
C02355,4,Everything was fine,7
C02356,5,Resolved the issue quickly,5
C02357,1,Resolved the issue quickly,0
C02358,5,Everything was fine,0
C02359,4,Quick and efficient,2
C02360,3,Took longer than expected.,5
C02361,4,Took longer than expected.,3
C02362,4,Everything was fine,5
C02363,4,,0
C02364,4,,14
C02365,5,Took longer than expected.,0
C02366,5,,3
C02367,5,,3
C02368,5,Resolved the issue quickly,0
C02369,3,Communication could be better,5
C02370,1,Quick and efficient,0
C02371,3,Would appreciate faster response next time,2
C02372,5,Took longer than expected.,0
C02373,3,Quick and efficient,14
C02374,2,Would appreciate faster response next time,0
C02375,3,Everything was fine,5
C02376,3,Communication could be better,2
C02377,5,Technician was very professional,0
C02378,5,Issue still persists,5
C02379,5,Great Service.,5
C02380,2,Would appreciate faster response next time,2
C02381,5,Issue still persists,14
C02382,4,Everything was fine,5
C02383,5,Issue still persists,0
C02384,4,Issue still persists,5
C02385,5,Issue still persists,0
C02386,4,,7
C02387,1,Everything was fine,14
C02388,5,Would appreciate faster response next time,7
C02389,3,Great Service.,1
C02390,3,Quick and efficient,1
C02391,2,Communication could be better,3
C02392,5,Everything was fine,5
C02393,2,Would appreciate faster response next time,0
C02394,4,Communication could be better,0
C02395,5,Would appreciate faster response next time,5
C02396,4,Issue still persists,5
C02397,2,Issue still persists,14
C02398,2,Issue still persists,5
C02399,2,Would appreciate faster response next time,2
C02400,4,Everything was fine,1
C02401,4,Quick and efficient,3
C02402,4,Issue still persists,1
C02403,5,,2
C02404,5,Issue still persists,1
C02405,5,Resolved the issue quickly,2
C02406,5,Great Service.,14
C02407,2,Everything was fine,7
C02408,2,Communication could be better,3
C02409,4,Communication could be better,0
C02410,4,Resolved the issue quickly,3
C02411,3,Everything was fine,5
C02412,5,Technician was very professional,5
C02413,4,Issue still persists,5
C02414,5,Would appreciate faster response next time,2
C02415,5,Resolved the issue quickly,7
C02416,2,Great Service.,7
C02417,3,Took longer than expected.,2
C02418,4,,14
C02419,3,Technician was very professional,0
C02420,1,Technician was very professional,0
C02421,4,Took longer than expected.,2
C02422,3,Technician was very professional,14
C02423,4,Would appreciate faster response next time,0
C02424,4,Would appreciate faster response next time,0
C02425,4,Issue still persists,7
C02426,5,Technician was very professional,2
C02427,4,Took longer than expected.,2
C02428,1,Issue still persists,14
C02429,3,Everything was fine,3
C02430,4,Resolved the issue quickly,0
C02431,5,Would appreciate faster response next time,3
C02432,5,Quick and efficient,0
C02433,4,,3
C02434,5,,0
C02435,5,Communication could be better,2
C02436,5,Took longer than expected.,1
C02437,4,Resolved the issue quickly,1
C02438,5,Resolved the issue quickly,5
